research_geography,New,Cluster,Entry point
Brazil,Blended_Finance,Financial Cross-Cutters,"National Development Banks can play a critical role in RE development through financing and facilitation, key criteria includes risk profile transformation of initial low-technology share projects to facilitate safe private investment along with focus on transparency and long-term cost recovery with more late stage projects offloaded to private lenders as technology and markets mature. "
United States,Market_Oriented ,Market_Based,Tax-Credit Based Policy Leveraged Market Based Financial System for Rapid Rebound in Solar enabled by solar market formation post financial crisis 
Germany,Multi-Level_Industrial_Policy,Distributed_Industrial_Policy ,Stable generous policy regime through FiTs and Cheap State Loans enabled earlier adoption than the market with clear policy transition and refinancing towards market readiness
China,,Financial Cross-Cutters,"Late start leveraged relative technological maturity with aggressive upfront state subsidies targeting large and capable players(winners) for growth,  backed by development bank led financing till installations reach targets "
Germany,,Distributed_Industrial_Policy ,"Municipalities can be change agents under the right context in wealthy decentralised political regions with public support where they have policy making, coordinating, planning and advisory roles. They key challenges they can overcome is in policy coordination between complex systems in urban regions where they can create synergestic windows for a wide umbrella of actors to achieve energy sector coupling. "
Kazakhstan,Adaptive_Transition ,Adaptive_Pragmatists,"Post-Soviet and oil dependent economies can make progress on RE goals by adopting better targetting and structured policy support. Key enablers include market confidence and liberalisation, increased accountability and improvements in quality of governance. "
Senegal,,Financial Cross-Cutters,"For countries with signficant dependencies on international finance energy sector reform can be harnessed to increase energy output and efficiency along with reducing oil dependence and increasing renewable penetration, coordinated with tax, regulatory and contractual incentives aimed at attracting private investment this can lead to major gains in RE penetration. However States must be cautious as they increased role of private capital can weaken autonomy and limit state ability to make energy policy in the face major financial disparity and dependencies, weak land use rights systems can lead to greater challenges in equity and energy justice despite major gains in RE. "
ASEAN,,Centralized_Industrial_Policy,"Competitive Feed-in-Tariff Rate, with low-pre-existing market share allowed growth. C#lear RE policy targets announced 2 years prior to coming into effect"
Asia–Pacific,,Adaptive_Pragmatists,For developing economies political stability and administrative efficiency is assumed to increase the  credibility of policies. Strategic policies including mid-term goals are important policy design factors in promoting renewable electricity capacity. For least developed economies rural off-grid electrification is a central motivation for pushing renewable energy adoption (Afghanistan).
United States,,Market_Based,"Policy mix of netmetering, Subsidy and Ongoing production incentives helped drive adoption by reducing cost burden for consumer adoption"
Korea,,Centralized_Industrial_Policy,"FiT policy can lead to RE takeoff but cost-structuring must be sustainable, RPS can lower the financial strain but policy transitions must be communicated and presented in advance else leading to disruption costs. "
"Apulia , Tuscany",Devolved_Governance ,Regional_Autonomy,"Regional devolution of energy policy for regions with heterogenieties in states and strong cultural and social values, enabling local governments to create their own approaches to RE policy with emphasis on land-use and energy consenting, this facilitates long term public acceptance and policy stability"
Scotland ,,Regional_Autonomy,"Devoltion can be centralised at the regional level to leverage strategic policies choices and enact scale dependent decisions like technology commitment and infrastrucutre, local stakeholders have to be incorporated but there must be provisions for policy prioritization. "
Vietnam,State_Directed_Strategic,Centralized_Industrial_Policy,For economies where solar PV is not part of electricity generation Fit-in tariffs with tax exemption can establish a new economy sector conditional to public acceptance and resource availability.
Germany,,Distributed_Industrial_Policy ,"Robust FIT market independent regime at Federal Level with price guarantees for all renewable technologies for two decades, incentivising small investors and widespread deployment in states with lower income to seek growth in RE. "
Austria ,,Distributed_Industrial_Policy ,"Procurment policy supercharged by national level FIT system which opened up investment into the RE production, later amended to improve cost-efficiency."
China,,Centralized_Industrial_Policy,"Policy makers took interest in innovations in nascent PV industry comminicating support, enabling market investment, coupled with FIT, Subsidy and RD investment as Industry Matured. "
China,,Centralized_Industrial_Policy,"Focus shifted from Solar production to export towards Domestic solar deployment with more ambitious RE targets, FITs were expanded to distributed PV to reduce grid burden, Subsidy policy was altered to align incentives and reduce fraud"
China,,Centralized_Industrial_Policy,"Addressing Solar Curtailment the Central Government drastically re-organised the solar policy regime, lowering targets, FIT rates and subsidy rules to put a stop to faster than expected solar expansion"
United States,,Market_Based,"Stringent RPS targets which ambitous shares can induce compliance with the target for utilities providers, and even lead to consisent target over-shoot and economies of scale in states with abundant renewables capacity. However for states with less RE potential, RPS targets might lead to underinvestment in RE not covered under RPS due to path dependencies and utility expectation formations. Additional capacity at the utility providers level for more planning and flexibility might allow for  more dynamic utility performance. "
Chile ,,Distributed_Industrial_Policy ,"For states transitioning from a state based energy system towards a Market_Based energy system, reforms can be leveraged in successive waves to create policy success in RE deployment. This requires strategic planning and investments in the entire energy system from generation to distribution. Independent institutions are key in long term planning and policy success. There is however risk of high market concentration and low-civic participation in these processes which can maintain or reinforce PE structures. "
Germany,,Financial Cross-Cutters,Pro-active national development bank in the prescence of a distributed and environmentally oriented market and institutional fabric was able to transform the risk profile in conjuction with generous and stable fiscal policy in FiTs and coordination with grid which then allowed investors of all sizes to partake in RE expansion and at lower IRR due to values. 
China,,Centralized_Industrial_Policy,"Strong state prescence in chinese economy and energy system through competing large SOEs mitigated part of the risk in RE investment despite the knowledge and skill gap in the financial sector, this led to corporate finance and in conjuction with the CDB policy of national champion picking the RE sector was dominated by large projects by large firms with limited access to private, small and medium sized players. Risk mitigation was possible thanks to the strong centralisation and connections between the players reducing coordination failures in the otherwise information poor market.  "
