sector,mitigation_option,count
Energy (83.5%),RE(Wind and Solar) (27),27
Energy (83.5%),Solar (22),22
Energy (83.5%),Hydro-electricity (5),5
Energy (83.5%),Coal (14),14
Energy (83.5%),Wind (12),12
Energy (83.5%),Bioenergy (18),18
Energy (83.5%),Grid-storage (2),2
Energy (83.5%),Nuclear (1),1
Buildings (4.1%),Passive House (2),2
Buildings (4.1%),Heat Pumps (1),1
Buildings (4.1%),Energy Efficiency (2),2
Transport (10.7%),Electric Vehicles (12),12
Transport (10.7%),Fuel Cell Cars (1),1
Carbon Mgmt (1.7%),CCS (2),2
